ProviderID,12/1/2020,12/2/2020,12/3/2020,12/4/2020,12/5/2020,12/6/2020,12/7/2020,12/8/2020,12/9/2020,12/10/2020,12/11/2020,12/12/2020,12/13/2020,12/14/2020,12/15/2020,12/16/2020,12/17/2020,12/18/2020,12/19/2020,12/20/2020,12/21/2020,12/22/2020,12/23/2020,12/24/2020,12/25/2020,12/26/2020,12/27/2020,12/28/2020,12/29/2020,12/30/2020,12/31/2020
Provider547,,SiteA - Trainee2,,,,,SiteA - Trainee3,,SiteA - Trainee2,,,,,,,,,,,,SiteA - Trainee2,,SiteA - Trainee2,,,,,,,,
Provider987,,,,,,,,,,,,,,,,,,,SiteA Staff - 1st Shift Weekend 7a-7a,,,,,,,,,,,,
Provider492,SiteA - Specialty2 Day,SiteA - Specialty2 OnCall -Weekday,SiteA - Specialty2 Clinic,SiteA - Specialty2 Day,,,SiteA - Room,SiteA - Specialty2 OnCall -Weekday,SiteA - Specialty2 Clinic,SiteA - Specialty2 Day,SiteA - Specialty2 OnCall -Weekday,SiteA - Specialty2 Clinic,SiteA - Specialty2 OnCall -Weekend,SiteA - Specialty2 Clinic,SiteA - Specialty2 Day,SiteA - Room,SiteA - Specialty2 OnCall -Weekday,SiteA - Specialty2 Clinic,,,SiteA - Specialty2 OnCall -Weekday,SiteA - Specialty2 Clinic,SiteA - Room,SiteA - Specialty2 Day,,,,SiteA - Room,SiteA - Room,,SiteA - Specialty2 OnCall -Weekday
Provider492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SiteA - Backup2,,
Provider182,,,,SiteA - Room,,,,,,SiteA - Room,,,,,SiteA - Room,SiteA - Room,,,,,SiteA - Room,SiteA - Room,SiteA - Room,,,,,SiteA - Room,,,
Provider240,SiteA - Support,WG - Clin,WG - Proc,WG - Clin,,SiteA Staff - 1st Shift Weekend 7a-5p,WG - Clin,SiteA - Room,SiteA - EveShift2 12p,Vacation,Vacation,,,Vacation,SiteA - Support,SiteD - Room,WG - Proc,WG - Proc,,,WG - Clin,SiteA - Support,WG - Clin,,,,,SiteA Staff - 1st Shift Weekday 3p-7a,SiteA - PostShift,WG - Clin,WG - Proc
Provider240,,,,WG - Proc,,,,,,,,,,,,,,,,,,SiteA - Backup2,,,,,,,,,
Provider469,SiteA - Room,SiteA - Specialty2 Day,SiteA - Room,,,,SiteA - Specialty2 OnCall -Weekday,SiteA - Specialty2 Clinic,SiteA - Specialty2 OnCall -Weekday,SiteA - Specialty2 Clinic,SiteA - Room,SiteA - Specialty2 OnCall -Weekend,SiteA - Specialty2 Clinic,SiteA - Room,SiteA - Specialty2 OnCall -Weekday,SiteA - Specialty2 Clinic,SiteA - Specialty2 Day,SiteA - Room,,,SiteA - Room,SiteA - Room,SiteA - Room,,SiteA - Specialty2 Day,SiteA - Specialty2 Clinic,SiteA - Specialty2 OnCall -Weekend,SiteA - Specialty2 Clinic,Administrative,SiteA - Specialty2 OnCall -Weekday,SiteA - Specialty2 Clinic
Provider469,,,,,,,,,,,,,,,,,,,,,,,,,SiteA - Specialty2 OnCall -Weekend,,,,,,
Provider318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provider713,SiteA - Room,SiteA - Room,SiteB - Room,SiteA - Specialty1 OnCall,SiteA - Specialty1 OnCall,SiteA - Specialty1 OnCall,Other,SiteA - EveShift1 3p,SiteB - Room,SiteA - Specialty1 OnCall,SiteA - HoldArea,,,SiteA Staff - 1st Shift Weekday 3p-7a,SiteA - PostShift,SiteA - Room,SiteA - Room,SiteA Staff - 1st Shift Weekday 3p-7a,SiteA - PostShift,,SiteB - Room,SiteA - EveShift2 12p,SiteA - Specialty1 OnCall,SiteA - HoldArea,,,,SiteB - ICU,SiteB - ICU,SiteB - ICU,SiteB - ICU
Provider713,,SiteA - Backup1,,SiteA - HoldArea,,,,,,SiteA - HoldArea,,,,,,SiteA - Backup1,,,,,,,SiteA - HoldArea,,,,,,,,
Provider635,SiteC - Center,SiteC - Center,SiteA - Room,Specialty3,,,SiteC - Center,SiteC - Center,SiteC - Center,SiteA - Room,Specialty3,,,SiteC - Center,SiteC - Center,SiteC - Center,SiteA Staff - 1st Shift Weekday 3p-7a,SiteA - PostShift,,,SiteC - Center,SiteC - Center,SiteC - Center,,,SiteA Staff - 1st Shift Weekend 7p-7a,SiteA - PostShift,Specialty3,SiteA - Specialty2 Day,SiteC - Center,SiteA - Room
Provider304,SiteA - Room,Specialty3,Specialty3,,,,,SiteB - Room,Specialty3,Specialty3,,,,,SiteA - Room,SiteA Staff - 1st Shift Weekday 3p-7a,SiteA - PostShift,,,,,Vacation,Vacation,Vacation,,,,,Specialty3,Specialty3,SiteB - Room
Provider36,SiteA - HoldArea,SiteA - HoldArea,SiteA - HoldArea,SiteB - Room,,,SiteB - Room,SiteA - Specialty1 OnCall,SiteA - HoldArea,SiteA - EveShift2 12p,Staff - Floating Holiday,,,SiteA - Room,SiteA - Room,Administrative,SiteA - EveShift1 3p,SiteA - Room,,,Administrative,SiteB - Room,SiteB - Room,SiteA - Room,SiteA - Specialty1 OnCall,SiteA - Specialty1 OnCall,SiteA - Specialty1 OnCall,Other,Administrative,SiteA - EveShift1 3p,SiteB - Room
Provider36,,SiteA - Specialty1 OnCall,,,,,,SiteA - HoldArea,,,,,,,SiteA - Backup2,,,,,,,,,,,,,,,,
Provider281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provider741,Specialty3,SiteA - Room,SiteA - Specialty2 OnCall -Weekday,SiteA - Specialty2 Clinic,,,Specialty3,Administrative,Administrative,SiteA - EveShift1 3p,SiteA - EveShift2 12p,SiteA Staff - 1st Shift Weekend 7p-7a,SiteA - PostShift,SiteA - Specialty2 Day,Specialty3,Specialty3,Specialty3,Specialty3,,,Specialty3,SiteA - Specialty2 OnCall -Weekday,SiteA - Specialty2 Clinic,Specialty3,,,,SiteA - Room,,SiteB - Room,Specialty3
Provider741,,SiteA - Backup2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provider303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provider973,Vacation,Vacation,Vacation,Vacation,,,SiteA Staff - 1st Shift Weekday 3p-7a,SiteA - PostShift,SiteA - Room,SiteB - Room,SiteA - HoldArea,SiteA - Specialty1 OnCall,SiteA - Specialty1 OnCall,SiteA - Room,Administrative,SiteA - HoldArea,SiteA - HoldArea,SiteA - EveShift1 3p,,,SiteB - ICU,SiteB - ICU,SiteB - ICU,SiteB - ICU,SiteB - ICU,SiteB - ICU,SiteB - ICU,SiteB - ICU Clinic,SiteA - EveShift1 3p,SiteA - Room,SiteB - Room
Provider973,,,,,,,,,SiteA - Backup2,,SiteA - Specialty1 OnCall,,,,,SiteA - Specialty1 OnCall,,,,,,,,,,,,,,,
Provider654,SiteA - PostShift,Administrative,,,,,SiteB - Room,Administrative,SiteB - Room,,,,,Specialty3,Administrative,Administrative,,,,,SiteA - Room,SiteA Staff - 1st Shift Weekday 3p-7a,SiteA - PostShift,,,,,SiteA - EveShift2 12p,SiteC - Center,SiteA - Room,
Provider654,,,,,,,,,,,,,,,,,,,,,SiteA - Backup2,,,,,,,,,,
Provider766,SiteA - Room,SiteA - Room,SiteA - Trainee1,SiteA - TraineeClinic,,,SiteA - Trainee1,SiteA - TraineeClinic,SiteA - Trainee1,SiteA - TraineeClinic,SiteA - Trainee1,SiteA - TraineeOnCall,SiteA - TraineeOnCall,SiteA - TraineeClinic,SiteA - Room,SiteA - Room,SiteA - Trainee1,SiteA - TraineeClinic,SiteA - WeekendRoom,SiteA - WeekendRoom,SiteA - Room,SiteA - Trainee1,SiteA - TraineeClinic,SiteA - Trainee1,SiteA - TraineeClinic,SiteA - WeekendRoom,,SiteA - Trainee2,,SiteA - Trainee1,SiteA - TraineeClinic
Provider766,,,SiteA - TraineeOnCall,,,,SiteA - TraineeOnCall,,SiteA - TraineeOnCall,,SiteA - TraineeOnCall,,,,,,SiteA - TraineeOnCall,,,,,SiteA - TraineeOnCall,,SiteA - TraineeOnCall,,,,,,SiteA - TraineeOnCall,
Provider85,SiteA Staff - 1st Shift Weekday 3p-7a,SiteA - PostShift,SiteA - EveShift2 12p,,,,,SiteA - Room,,SiteA - Room,,,,,SiteA - Room,,SiteA - Room,,,,SiteA - EveShift2 12p,,,,,,,,,,
Provider748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provider366,SiteA - TraineeClinic,SiteB - TraineeDay,SiteB - TraineeClinic,SiteB - TraineeDay,SiteB - TraineeOnCall,SiteB - TraineeOnCall,SiteB - TraineeDay,SiteB - TraineeClinic,SiteA - Room,SiteB - TraineeDay,SiteB - TraineeClinic,,,SiteA - Trainee2,SiteA - Trainee2,Administrative,SiteB - TraineeDay,SiteB - TraineeClinic,,,Administrative,SiteB - TraineeDay,SiteB - TraineeClinic,SiteA - Trainee2,SiteB - TraineeOnCall,SiteB - TraineeOnCall,SiteB - TraineeOnCall,SiteB - TraineeDay,SiteB - TraineeClinic,SiteB - TraineeDay,SiteB - TraineeClinic
Provider366,,SiteB - TraineeOnCall,,SiteB - TraineeOnCall,,,SiteB - TraineeOnCall,,,SiteB - TraineeOnCall,,,,,,,SiteB - TraineeOnCall,,,,,SiteB - TraineeOnCall,,,,,,SiteB - TraineeOnCall,,SiteB - TraineeOnCall,
Provider465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provider606,SiteA - Room,SiteA - Room,SiteA - Room,SiteA - Room,,,Sick,Sick,Sick,Sick,Sick,,,Sick,Sick,Sick,Sick,Sick,,,SiteA - EveShift1 3p,SiteA - Room,SiteA - Room,SiteA - Room,SiteA Staff - 1st Shift Weekend 7a-7p,,SiteA - WeekendRoom,,SiteA - Room,SiteA - EveShift2 12p,SiteA - Room
Provider606,SiteA - Backup1,,SiteA - Backup2,,,,,,,,,,,,,,,,,,,,SiteA - Backup1,,SiteA Staff - 1st Shift Weekend 7p-7a,,,,,,
Provider509,SiteB - ICU,SiteB - ICU,SiteB - ICU,SiteB - ICU,SiteB - ICU,SiteB - ICU,SiteB - ICU Clinic,SiteA - EveShift2 12p,SiteA - Specialty1 OnCall,SiteA - HoldArea,SiteA Staff - 1st Shift Weekday 3p-7a,SiteA - PostShift,,SiteA - Room,SiteA - HoldArea,Administrative,SiteA - Room,SiteA - Room,,,SiteA - Room,SiteB - Room,SiteA - EveShift2 12p,SiteA - HoldArea,,,,SiteA - Specialty1 OnCall,SiteA - HoldArea,SiteA - Specialty1 OnCall,SiteA - HoldArea
Provider509,,,,,,,,,SiteA - HoldArea,,,,,,SiteA - Specialty1 OnCall,,SiteA - Backup1,,,,SiteA - Backup1,,,SiteA - Specialty1 OnCall,,,,SiteA - HoldArea,,SiteA - HoldArea,
Provider433,SiteB - TraineeClinic,SiteA - Room,SiteA - HoldArea,SiteA - HoldArea,,,SiteA - Room,SiteA - Trainee1,SiteA - TraineeClinic,SiteA - Room,SiteA - Room,,,Administrative,SiteA - Trainee1,SiteA - TraineeClinic,SiteA - Trainee2,SiteA - Trainee1,SiteA - TraineeOnCall,SiteA - TraineeOnCall,SiteA - TraineeClinic,SiteA - HoldArea,SiteA - HoldArea,SiteB - TraineeDay,SiteB - TraineeClinic,,,,SiteB - TraineeDay,SiteB - TraineeClinic,SiteA - Specialty1 OnCall
Provider433,,,SiteA - Specialty1 OnCall,,,,,SiteA - TraineeOnCall,,,,,,SiteA - Specialty1 OnCall,SiteA - TraineeOnCall,,SiteA - Specialty1 OnCall,SiteA - TraineeOnCall,,,,SiteA - Specialty1 OnCall,,SiteB - TraineeOnCall,,,,,SiteB - TraineeOnCall,,SiteA - HoldArea
Provider433,,,,,,,,,,,,,,SiteA - HoldArea,,,,,,,,,,,,,,,,,
Provider429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provider497,Administrative,SiteA - EveShift1 3p,Specialty4,SiteA - Room,SiteA Staff - 1st Shift Weekend 7p-7a,SiteA - PostShift,SiteA - Room,SiteA Staff - 1st Shift Weekday 3p-7a,SiteA - PostShift,Specialty4,SiteA - Specialty2 Day,,,SiteA - EveShift2 12p,Administrative,SiteA - EveShift1 3p,Specialty4,SiteA - Room,,,SiteA - Room,SiteA - Room,SiteA - EveShift1 3p,SiteA - Room,,,,SiteA - Specialty2 OnCall -Weekday,SiteA - Specialty2 Clinic,SiteA - Room,
Provider497,,,,SiteA - Backup1,,,,,,,,,,,,,,,,,,,,SiteA - Backup2,,,,,,,
Provider991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provider775,Administrative,Administrative,SiteA - Room,SiteA - Room,,,SiteA - EveShift1 3p,Administrative,SiteA - Specialty2 Day,Vacation,Vacation,,,SiteB - ICU,SiteB - ICU,SiteB - ICU,SiteB - ICU,SiteB - ICU,SiteB - ICU,SiteB - ICU,SiteB - ICU Clinic,SiteA - Room,SiteA - Specialty2 Day,SiteA - Specialty2 OnCall -Weekday,SiteA - Specialty2 Clinic,,SiteA Staff - 1st Shift Weekend 5p-7a,SiteA - PostShift,Administrative,SiteA - Room,
Provider775,,,SiteA - Backup1,,,,,,,,,,,,,,,,,,,,,,,,,,,SiteA - Backup1,
Provider994,Primary - Consult,WG - Proc,Primary - Consult,Primary - Consult,Primary - Consult,Primary - Consult,SiteA - Coordinator 7a-3p,SiteA - Coordinator 7a-3p,Administrative,WG - Proc,SiteB - General OnCall,SiteB - General OnCall,SiteB - General OnCall,SiteA - EveShift1 3p,WG - Clin,SiteA - Specialty2 Day,WG - Clin,Personal,,SiteA - Specialty2 OnCall -Weekend,SiteA - Specialty2 Clinic,WG - Clin,SiteA - Specialty2 OnCall -Weekday,SiteA - Specialty2 Clinic,,,,,,,
Provider994,WG - Clin,Primary - Consult,SiteA - Coordinator 7a-3p,SiteA - Coordinator 7a-3p,,,,,,,SiteA - Support,SiteA - Support,SiteA - Support,,,SiteA - Backup2,,,,,,,,,,,,,,,
Provider171,SiteA - Coordinator 7a-3p,SiteA - Coordinator 7a-3p,SiteA - Room,SiteA - Support,,SiteA - WeekendRoom,SiteA - Room,SiteA - Support,SiteA - Support,SiteA Staff - 1st Shift Weekday 3p-7a,SiteA - PostShift,,,SiteA - Support,SiteA - EveShift2 12p,SiteA - Support,SiteA - Support,SiteA - Support,SiteA - Support,SiteA - Support,SiteA - Support,SiteA - Room,SiteA - Support,SiteA Staff - 1st Shift Weekday 3p-7a,SiteA - PostShift,,SiteA Staff - 1st Shift Weekend 7a-5p,SiteA - Coordinator 7a-3p,SiteA - Coordinator 7a-3p,SiteA - Coordinator 7a-3p,SiteA - Coordinator 7a-3p
Provider171,,,,,,,SiteA - Backup2,,,,,,,,,,,,,,,,,,,,,,,,
Provider830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provider558,WG - Proc,SiteD - Room,,Sick,,,Sick,Sick,WG - Clin,,WG - Clin,,,WG - Clin,WG - Proc,WG - Clin,,WG - Clin,,,WG - Clin,WG - Proc,WG - Proc,,,,,,,WG - Proc,
Provider558,,,,,,,,,WG - Proc,,WG - Proc,,,,,WG - Proc,,,,,,,,,,,,,,,
Provider323,,,,SiteA - Room,,,,,,,SiteA - Room,,,,,,,SiteA - Room,,,,,SiteA - Room,,,,,,,,
Provider48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provider61,SiteA - Specialty2 Clinic,,,,,,Vacation,Vacation,Vacation,Vacation,Vacation,,,Earned Time Taken,Earned Time Taken,Staff - Floating Holiday,Staff - Floating Holiday,Staff - Floating Holiday,,,Earned Time Taken,,,SiteA - Support,,SiteA - Support,SiteA - Support,SiteA - Support,SiteA - Specialty2 OnCall -Weekday,SiteA - Specialty2 Clinic,SiteA - Support
Provider61,,,,,,,,,,,,,,,,,,,,,,,,,,SiteA - Specialty2 OnCall -Weekend,SiteA - Specialty2 Clinic,,,,SiteA - Backup2
Provider178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provider42,SiteA - Trainee2,,,SiteA - Trainee2,,,,SiteA - Trainee2,,SiteA - Trainee2,SiteA - Trainee2,,,,,,,,,,,,,,,,,,,,
Provider249,SiteA - Room10,SiteA - EveShift2 12p,SiteB - Room,SiteB - General OnCall,SiteB - General OnCall,SiteB - General OnCall,SiteB - Room,SiteB - Room,SiteA Staff - 1st Shift Weekday 3p-7a,SiteA - PostShift,No Call,,,SiteB - Room,SiteA - Room,SiteB - Room,SiteB - Room,SiteB - Room,,,SiteB - Room,Specialty3,SiteA - Room,SiteA - Room,,,,SiteB - Room,SiteB - Room,SiteB - Room,SiteA - EveShift1 3p
Provider249,,,,SiteB - Room,,,,,,,SiteB - Room,,,SiteA - Backup1,,,,SiteA - Backup1,,,,,SiteA - Backup2,,,,,,,,
Provider352,SiteB - Lead,SiteB - Lead,SiteB - Lead,Personal,,,Personal,SiteB - Lead,SiteB - Lead,SiteB - Lead,SiteB - Lead,,,SiteB - Lead,SiteB - Lead,SiteB - Lead,SiteB - Lead,SiteB - General OnCall,SiteB - General OnCall,SiteB - General OnCall,SiteB - Lead,SiteB - Lead,SiteB - Lead,SiteB - Lead,,,,Personal,Personal,Personal,Personal
Provider352,,,,Vacation,,,,,,,,,,,,,,SiteB - Lead,,,,,,,,,,,,,
Provider228,Administrative,Administrative,Administrative,Administrative,,,Administrative,Administrative,Administrative,Bereavement,Bereavement,,,Bereavement,Vacation,Vacation,Vacation,Vacation,,,SiteA - Specialty2 Day,Administrative,Administrative,Holiday,Holiday,,,SiteA - Specialty2 Day,,,
Provider91,SiteA - Room,SiteA Staff - 1st Shift Weekday 3p-7a,SiteA - PostShift,SiteA - Room,,,SiteA - EveShift2 12p,SiteA - Room,SiteA - Room,SiteA - Room,SiteA - EveShift1 3p,,SiteA Staff - 1st Shift Weekend 7a-5p,SiteA - Room,SiteA - Room,SiteA - Room,SiteA - Room,SiteA - Room,,,SiteA - Room,SiteA - Room,SiteA - Room,,,,,SiteA - Room,SiteA - Room,SiteA - Room,SiteA - Room
Provider91,,,,,,,,,,SiteA - Backup2,,,,,,,,,,,,,,,,,,,,,
Provider990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provider996,Administrative,SiteA - Room,SiteA - AltClinic,SiteA - Room,,,SiteA - Room,SiteA - Room,SiteA - Room,SiteA - AltClinic,Administrative,,,Administrative,SiteA - EveShift1 3p,SiteA - Room,SiteA - EveShift2 12p,SiteA - Room,,,SiteA - Room,Administrative,SiteA Staff - 1st Shift Weekday 3p-7a,SiteA - PostShift,,,,SiteA - Room,SiteA Staff - 1st Shift Weekday 3p-7a,SiteA - PostShift,SiteA - Room
Provider996,,,,SiteA - Backup2,,,,SiteA - Backup1,,,,,,,,,,,,,,,,,,,,,,,
Provider961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provider111,SiteB - Room,SiteB - Room,SiteB - Room,SiteB - Lead,,,SiteB - Lead,SiteB - Room,SiteB - Room,SiteB - Room,SiteB - Room,,,SiteB - Room,SiteB - Room,SiteB - Room,SiteB - Room,SiteB - Room,,,SiteB - Room,SiteB - Room,SiteB - Room,SiteB - Room,,,,SiteB - Lead,SiteB - Lead,SiteB - Lead,
Provider265,SiteA - Trainee1,SiteA - TraineeClinic,SiteA - Room,SiteA - Trainee1,SiteA - TraineeOnCall,SiteA - TraineeOnCall,SiteA - TraineeClinic,SiteA - Room,SiteA - Room,SiteA - Trainee1,SiteA - TraineeClinic,,,SiteA - Trainee1,SiteA - TraineeClinic,SiteA - Trainee1,SiteA - TraineeClinic,SiteA - Room,,,SiteA - Trainee1,SiteA - TraineeClinic,SiteA - Trainee1,SiteA - TraineeClinic,,,,,SiteA - Trainee1,SiteA - TraineeClinic,SiteA - Trainee1
Provider265,SiteA - TraineeOnCall,,,SiteA - TraineeOnCall,,,,,,SiteA - TraineeOnCall,,,,SiteA - TraineeOnCall,,SiteA - TraineeOnCall,,,,,SiteA - TraineeOnCall,,SiteA - TraineeOnCall,,,,,,SiteA - TraineeOnCall,,SiteA - TraineeOnCall
Provider188,SiteB - TraineeDay,SiteB - TraineeClinic,SiteB - TraineeDay,SiteB - TraineeClinic,,,SiteB - Room,SiteB - TraineeDay,SiteB - TraineeClinic,Administrative,SiteA - Trainee3,,,SiteA - Trainee3,SiteB - TraineeDay,SiteB - TraineeClinic,SiteB - Room,SiteA - Trainee3,,,SiteA - HoldArea,SiteA - Trainee3,SiteB - TraineeDay,SiteB - TraineeClinic,SiteA - TraineeOnCall,SiteA - TraineeOnCall,SiteA - TraineeOnCall,SiteA - TraineeClinic,SiteA - Trainee2,Administrative,SiteB - TraineeDay
Provider188,SiteB - TraineeOnCall,,SiteB - TraineeOnCall,,,,,SiteB - TraineeOnCall,,,,,,,SiteB - TraineeOnCall,,,,,,SiteA - Specialty1 OnCall,,SiteB - TraineeOnCall,,,,,,SiteA - Specialty1 OnCall,,SiteB - TraineeOnCall
Provider834,SiteB - Room,SiteB - Room,,,,,,,,SiteB - Room,SiteB - Room,,,SiteB - Room,SiteB - Room,SiteB - Room,,,,,,,,SiteB - Room,,,,SiteB - Room,SiteB - Room,SiteB - Room,
Provider566,SiteA - Room,SiteA - Support,SiteA - Support,SiteA - EveShift2 12p,SiteA - Support,SiteA - Specialty2 Clinic,SiteA - Support,SiteA - Room,SiteA - Coordinator 7a-3p,Vacation,Vacation,Vacation,Vacation,Vacation,SiteA - Coordinator 7a-3p,SiteA - Coordinator 7a-3p,SiteA - Coordinator 7a-3p,SiteA - Specialty2 OnCall -Weekday,SiteA - Specialty2 Clinic,,SiteA Staff - 1st Shift Weekday 3p-7a,SiteA - PostShift,Other,Vacation,Vacation,Vacation,Vacation,Vacation,Vacation,Vacation,Vacation
Provider566,,,,,SiteA - Specialty2 OnCall -Weekend,SiteA - Support,,SiteA - Backup2,,,,,,,,,,,,,,,,,,,,,,,
Provider674,SiteA - EveShift2 12p,SiteA - Room,SiteA - Room,SiteA - Room,,SiteA Staff - 1st Shift Weekend 5p-7a,SiteA - PostShift,Specialty3,SiteA - Room,SiteA - Coordinator 7a-3p,SiteA - Coordinator 7a-3p,,,SiteA - Coordinator 7a-3p,SiteA - Room,SiteA - Room,SiteA - Room,SiteA - Coordinator 7a-3p,,,Other,SiteA - Room,Specialty3,,,,,SiteA - Room,SiteA - Room,SiteA - Room,SiteA Staff - 1st Shift Weekday 3p-7a
Provider674,,,,,,,,,,,,,,,,,,,,,,,,,,,,SiteA - Backup2,,,
Provider331,Administrative,SiteA - Trainee1,SiteA - TraineeClinic,SiteB - Room,,,SiteA - Trainee2,SiteB - Room,SiteB - TraineeDay,SiteB - TraineeClinic,SiteB - TraineeDay,SiteB - TraineeOnCall,SiteB - TraineeOnCall,SiteB - TraineeDay,SiteB - TraineeClinic,SiteB - TraineeDay,SiteB - TraineeClinic,SiteB - TraineeDay,SiteB - TraineeOnCall,SiteB - TraineeOnCall,SiteB - TraineeDay,SiteB - TraineeClinic,Administrative,,,,,SiteA - Trainee1,SiteA - TraineeClinic,SiteA - Trainee2,SiteA - Trainee2
Provider331,,SiteA - TraineeOnCall,,,,,,,SiteB - TraineeOnCall,,SiteB - TraineeOnCall,,,SiteB - TraineeOnCall,,SiteB - TraineeOnCall,,SiteB - TraineeOnCall,,,SiteB - TraineeOnCall,,,,,,,SiteA - TraineeOnCall,,,
